CodigoImovel;TipoImovel;SubTipoImovel;TituloImovel;Endereco;Numero;Complemento;Bairro;CEP;Cidade;UF;AreaTotal;AreaUtil;ValorIPTU;PrecoCondominio;PrecoLocacao;PrecoVenda;Ativo;CategoriaImovel;LocalChave;Publicado;Alarme;AndarAlto;AnoConstrucao;AquecimentoEletrico;AquecimentoGas;ArCondicionado;ArmarioAreaDeServico;ArmarioBanheiro;ArmarioCloset;ArmarioCozinha;ArmarioDormitorioEmpregada;ArmarioQuarto;ArmarioSala;ArmarioSuite;Brinquedoteca;Churrasqueira;Churrasqueiras;circuitointernotv;Condominio;Copa;Despensa;Divisoria;DormitorioEmpregada;elevador;ElevadorDeServico;EscritorioArmario;EspacoLeitura;Interfone;jardim;JardimInverno;LajeTecnica;Lavabo;Lavanderia;Madeira;Mezanino;Piscina;piscina_infantil;Piscinas;PisoCeramica;PisoLaminado;PisoPorcelanato;PisoTacoMadeira;pista_skate;Playground;portal_eletronico;PortaoEletronico;Portaria24h;Portaria24Horas;QtdBanheiros;QtdDormitorios;QtdSalas;QtdSuites;QtdVagas;quadra_tenis;QuadraPoliEsportiva;QuartoServico;Sacada;SalaEstar;SalaFitness;SalaGinastica;SalaJantar;salao_jogos;salao_video_cinema;SalaoFestas;salaogourmet;Sauna;sauna_seca;sauna_umida;Seguranca;ServicoCozinha;SPA;TomadaCarroEletrico;Varanda;Vinilico;UnidadeMetrica;Observacao;ObservacoesInternas
AP0001_SMAI;Apartamento;Apartamento padrão;Apartamento para locação, Méier, Rio de Janeiro, RJ;Rua Tenente Costa;117;Térreo;Méier;20775-080;Rio de Janeiro;RJ;21;21;;350;900;;Inativo;Padrão;Imobiliária;sem anuncio;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;1;;1;1;1;1;0;0;;;;;;;;;;;;;;;;;1;;;;;;[Table];Exclusivo: SIM
AP0002_SMAI;Apartamento;Apartamento padrão;Ótimo Apartamento Próximo ao comércio;Rua García Redondo;81;apto 207;Cachambi;20775-170;Rio de Janeiro;RJ;77;77;1155;900;1500;;Inativo;Padrão;Imobiliária;sem anuncio;;;;;;;;;;;;;;;;1;;; Don Garcia;;;;1;;1;;;;;;;;;;;;;1;;;;;;1;;;;;1;2;1;2;1;;;;;;;;;;;1;;;;;;;;;;;M²;[Table];Exclusivo: SIM
AP0003_SMAI;Apartamento;Apartamento padrão;Ótimo Apartamento 2 Quarto Reformado;Rua Capitao Resende;265;apto apto 407;Cachambi;20780-190;Rio de Janeiro;RJ;;58;;443;1000;;Ativo;Padrão;;sem anuncio;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;2;0;;;;;;;;;;;;;;;;;;;;;;M²;[Table];Exclusivo: SIM
AP0004_SMAI;Apartamento;Apartamento padrão;Excelente Apartamento 2 Quartos c/ Dep.;Rua Cachambi;59;bl apto - apto 201;Cachambi;20775-181;Rio de Janeiro;RJ;68;68;662;200;1600;;Inativo;Padrão;Imobiliária;sem anuncio;;;;1;;;;1;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;2;2;1;0;0;;;1;;;;;;;;;;;;;;1;;;;;M²;[Table];Exclusivo: SIM
AP0005_SMAI;Apartamento;Apartamento padrão;Ótimo Apartamento 1 Quarto;Rua Cônego Tobias;158;;Méier;20725-010;Rio de Janeiro;RJ;;42;;400;750;;Ativo;Padrão;;sem anuncio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;0;;;;;;;;;;;;;;;;;;;;;;M²;[Table];Exclusivo: SIM
AP0006_SMAI;Apartamento;Apartamento padrão;Excelente Apartamento 2 Quartos;Praça Avaí;11;bl 1 - apto 204;Cachambi;20775-150;Rio de Janeiro;RJ;;80;963;700;1100;;Ativo;Padrão;;sem anuncio;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;2;0;;;;;;;;;;;;;;;;;;;;;;M²;[Table];Exclusivo: SIM
AP0007_SMAI;Apartamento;Apartamento padrão;Ótimo Apartamento 2 Quartos na Tijuca;Rua Henry Ford;220;apto 606;Tijuca;20520-150;Rio de Janeiro;RJ;;79;1335;750;1800;;Ativo;Padrão;;sem anuncio;;;;;;;;;;;;;;;;;;;;1;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;2;0;;;;;;;;;;;;;;;;;;;;;;M²;[Table];Exclusivo: SIM
AP0008_SMAI;Apartamento;Apartamento padrão;Excelente Apartamento 3 Quartos;Rua Coração de Maria;354;apto 802;Méier;20775-050;Rio de Janeiro;RJ;;105;187;1330;1200;;Ativo;Padrão;;sem anuncio;;;;;;;;;;;;;;;;;;;;1;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;1;3;1;3;1;;;;;;;;;;;;;;;;;;;;1;;M²;[Table];Exclusivo: SIM
AP0009_SMAI;Apartamento;Apartamento padrão;Ótimo Apartamento 1 Quarto para Alugar;Rua Oliveira Serpa;57;;Maria da Graça;20785-300;Rio de Janeiro;RJ;;34;;1503;650;;Ativo;Padrão;;sem anuncio;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;0;;;;;;;;;;;;;;;;;;;;;;M²;[Table];Exclusivo: SIM
AP0010_SMAI;Apartamento;Apartamento padrão;Ótimo Apartamento 1 Quarto Reformado;Rua Honório;909;apto APTO 205;Todos os Santos;20771-421;Rio de Janeiro;RJ;;45;;235;1000;;Ativo;Padrão;;sem anuncio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;M²;[Table];Exclusivo: SIM
AP0011_SMAI;Casa;Casa de vila;Ótima casa com 2 quartos para alugar;Rua Teixeira de Azevedo;312; casa 06;Abolição;20755-260;Rio de Janeiro;RJ;78;78;;;1300;;Inativo;Padrão;Imobiliária;sem anuncio;;;;1;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;1;;;2;2;1;1;1;;;;;;;;;;;;;;;;;1;;;1;;M²;[Table];Exclusivo: SIM
